NOMBRE_ELECCION,AÑO_ELECCION,PAIS,REGION,DEPTO,MUNICIPIO,PARTIDO,NOMBRE_PARTIDO,SEXO,RAZA,ANALFABETOS,ALFABETOS,SEXO,RAZA,PRIMARIA,NIVEL MEDIO,UNIVERSITARIOS
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Dulce Nombre de María,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1972,5427,hombres,INDIGENAS,2691,1734,1002
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Citalá,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,913,7974,hombres,INDIGENAS,2804,2298,2872
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Agua Caliente,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,384,4204,hombres,INDIGENAS,418,2953,833
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Concepción Quezaltepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2734,5026,hombres,INDIGENAS,1018,1300,2708
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Nueva Trinidad,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,20,2335,hombres,INDIGENAS,494,130,1711
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Las Vueltas,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1841,3121,hombres,INDIGENAS,847,2261,13
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Comalapa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,284,2988,hombres,INDIGENAS,1172,390,1426
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Rafael,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2960,873,hombres,INDIGENAS,565,151,157
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San José Las Flores,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1032,3416,hombres,INDIGENAS,824,1788,804
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Ojos de Agua,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,191,4533,hombres,INDIGENAS,2018,1752,763
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Nombre de Jesús,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2278,5538,hombres,INDIGENAS,271,2903,2364
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Potonico,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2048,4457,hombres,INDIGENAS,2129,542,1786
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Francisco Morazán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1907,1289,hombres,INDIGENAS,1013,81,195
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Santa Rita,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,851,5333,hombres,INDIGENAS,1271,1611,2451
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,La Laguna,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,474,3360,hombres,INDIGENAS,1757,1373,230
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Isidro Labrador,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2284,3295,hombres,INDIGENAS,1372,1314,609
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Antonio de La Cruz,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,646,5482,hombres,INDIGENAS,2719,1035,1728
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,El Paraíso,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2208,2555,hombres,INDIGENAS,1698,115,742
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Miguel de Mercedes,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,443,4216,hombres,INDIGENAS,359,1024,2833
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Luis del Carmen,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2599,4536,hombres,INDIGENAS,2672,1278,586
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San José Cancasque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1873,3891,hombres,INDIGENAS,1729,116,2046
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Antonio Los Ranchos,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2036,6144,hombres,INDIGENAS,2810,1066,2268
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,El Carrizal,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2120,2814,hombres,INDIGENAS,293,1459,1062
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Fernando,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1284,6198,hombres,INDIGENAS,2188,1192,2818
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,Azacualpa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,236,3050,hombres,INDIGENAS,838,1121,1091
Elecciones Municipales,2005,EL SALVADOR,REGION 2,Chalatenango,San Francisco Lempa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1281,4832,hombres,INDIGENAS,383,2133,2316
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Cojutepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2218,4385,hombres,INDIGENAS,2242,193,1950
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Suchitoto,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1202,4332,hombres,INDIGENAS,2416,954,962
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,San Pedro Perulapán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2407,5708,hombres,INDIGENAS,612,2245,2851
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,San José Guayabal,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2481,5238,hombres,INDIGENAS,1665,2478,1095
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Tenancingo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1487,4224,hombres,INDIGENAS,88,2913,1223
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,San Rafael Cedros,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,54,1768,hombres,INDIGENAS,364,354,1050
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Candelaria,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,498,6897,hombres,INDIGENAS,1313,2586,2998
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,El Carmen,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,892,4120,hombres,INDIGENAS,1985,1704,431
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Monte San Juan,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,992,3892,hombres,INDIGENAS,988,860,2044
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,San Cristóbla,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,934,4545,hombres,INDIGENAS,2654,121,1770
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Santa Cruz Michapa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1712,4337,hombres,INDIGENAS,1010,1580,1747
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,San Bartolomé Perulapía,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2048,7003,hombres,INDIGENAS,1898,2939,2166
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,San Ramón,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2803,3357,hombres,INDIGENAS,1086,1488,783
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,El Rosario,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2851,4690,hombres,INDIGENAS,2440,116,2134
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Oratorio de Concepción,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1934,5143,hombres,INDIGENAS,1108,1201,2834
Elecciones Municipales,2005,EL SALVADOR,REGION 3,Cuscatlán  ,Santa Cruz Analquito,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,887,5596,hombres,INDIGENAS,2689,1322,1585
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Nueva San Salvador,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,502,5840,hombres,INDIGENAS,2879,2598,363
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Quezaltepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2214,4203,hombres,INDIGENAS,1743,957,1503
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Ciudad Arce,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2249,4240,hombres,INDIGENAS,1331,1513,1396
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,San Juan Opico,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1200,5185,hombres,INDIGENAS,2471,2684,30
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Colón,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2948,3077,hombres,INDIGENAS,1634,752,691
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Puerto de la Libertad,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,979,4177,hombres,INDIGENAS,1765,1530,882
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Antiguo Cuscatlán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2056,3712,hombres,INDIGENAS,431,1076,2205
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Comasagua,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1782,4968,hombres,INDIGENAS,2190,635,2143
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,San Pablo Tacachico,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2144,4055,hombres,INDIGENAS,1869,1204,982
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Jayaque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2796,4418,hombres,INDIGENAS,34,2874,1510
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Huizucar,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,381,3423,hombres,INDIGENAS,635,1547,1241
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Tepecoyo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2513,5217,hombres,INDIGENAS,1610,2034,1573
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Teotepeque,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2658,5908,hombres,INDIGENAS,1362,2374,2172
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Chiltiupán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,233,5497,hombres,INDIGENAS,2950,432,2115
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Nuevo Cuscatlán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2670,4467,hombres,INDIGENAS,888,840,2739
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Tamanique,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2023,3052,hombres,INDIGENAS,2326,599,127
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Sacacoyo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,835,2558,hombres,INDIGENAS,266,1521,771
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,San José Villa Nueva,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,773,5981,hombres,INDIGENAS,2804,1387,1790
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Zaragoza,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,623,5315,hombres,INDIGENAS,752,2380,2183
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Talnique,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1478,5341,hombres,INDIGENAS,2870,1810,661
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,San Matías,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1593,4655,hombres,INDIGENAS,1927,2074,654
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Libertad  ,Jicalapa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2623,7547,hombres,INDIGENAS,2559,2440,2548
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Zacatecoluca,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,206,4262,hombres,INDIGENAS,863,2261,1138
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Santiago Nonualco,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1343,5506,hombres,INDIGENAS,2458,2357,691
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Juan Nonualco,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,812,5566,hombres,INDIGENAS,2552,2645,369
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Pedro Masahuat,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2661,2535,hombres,INDIGENAS,546,1381,608
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Olocuilta,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1951,6864,hombres,INDIGENAS,2007,2707,2150
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Pedro Nonualco,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2776,3418,hombres,INDIGENAS,1034,1672,712
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Francisco Chinameca,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2593,5563,hombres,INDIGENAS,2798,1509,1256
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Juan Talpa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2207,2692,hombres,INDIGENAS,62,347,2283
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,El Rosario,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,238,3108,hombres,INDIGENAS,2211,444,453
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Rafael Obrajuelo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2405,4644,hombres,INDIGENAS,1182,2063,1399
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Santa María Ostuma,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,887,6728,hombres,INDIGENAS,2618,2359,1751
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Luis Talpa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2872,5207,hombres,INDIGENAS,2840,985,1382
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Antonio Masahuat,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2257,5312,hombres,INDIGENAS,1845,2060,1407
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Miguel Tepezontes,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2908,4340,hombres,INDIGENAS,1114,1649,1577
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Juan Tepezontes,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,424,2645,hombres,INDIGENAS,1075,1538,32
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Tapalhuaca,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,360,6024,hombres,INDIGENAS,1994,2542,1488
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Cuyultitán,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,964,4686,hombres,INDIGENAS,2602,1589,495
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Paraíso de Osorio,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1854,7775,hombres,INDIGENAS,2470,2886,2419
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Emigdio,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2050,6831,hombres,INDIGENAS,2288,1776,2767
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Jerusalén,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1967,2312,hombres,INDIGENAS,557,1078,677
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,Mercedes La Ceiba,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1852,4952,hombres,INDIGENAS,1615,838,2499
Elecciones Municipales,2005,EL SALVADOR,REGION 3,La Paz  ,San Luis La Herradura,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1341,4624,hombres,INDIGENAS,1977,1634,1013
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,La Unión,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,186,7490,hombres,INDIGENAS,2792,2101,2597
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Santa Rosa de Lima,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2030,5579,hombres,INDIGENAS,118,2673,2788
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Pasaquina,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,35,2989,hombres,INDIGENAS,910,1513,566
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,San Alejo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1655,2079,hombres,INDIGENAS,892,7,1180
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Anamorós,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,762,3957,hombres,INDIGENAS,2151,1089,717
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,El Carmen,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1905,5250,hombres,INDIGENAS,1971,512,2767
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Conchagua,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1333,1058,hombres,INDIGENAS,869,45,144
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,El Sauce,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2625,5597,hombres,INDIGENAS,231,2891,2475
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Lislique,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1082,4821,hombres,INDIGENAS,2822,197,1802
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Yucuayquín,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1615,4290,hombres,INDIGENAS,2637,1147,506
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Nueva Esparta,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2890,2935,hombres,INDIGENAS,365,1606,964
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Polorós,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2061,3050,hombres,INDIGENAS,2224,628,198
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Bolívar,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2297,5303,hombres,INDIGENAS,2609,2088,606
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Concepción de Oriente,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,9,3885,hombres,INDIGENAS,250,1951,1684
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Intipucá,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2645,4867,hombres,INDIGENAS,1344,2819,704
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,San José La Fuente,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1427,2274,hombres,INDIGENAS,459,1800,15
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Yayantique,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,78,4876,hombres,INDIGENAS,934,2218,1724
Elecciones Municipales,2005,EL SALVADOR,REGION 4,La Unión  ,Meanguera del Golfo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1435,5417,hombres,INDIGENAS,2706,2218,493
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,San Francisco Gotera,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1065,4145,hombres,INDIGENAS,2271,344,1530
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Jocoro,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2893,3961,hombres,INDIGENAS,1318,1025,1618
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Corinto,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2264,4771,hombres,INDIGENAS,495,1595,2681
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Sociedad,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1252,5838,hombres,INDIGENAS,1494,2634,1710
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Cacaopera,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1038,4889,hombres,INDIGENAS,1779,1036,2074
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Guatajiagüa,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1903,4868,hombres,INDIGENAS,2537,1148,1183
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,El Divisadero,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1360,2117,hombres,INDIGENAS,129,278,1710
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Jocoaitique,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1444,5237,hombres,INDIGENAS,520,1992,2725
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Osicala,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2126,2438,hombres,INDIGENAS,1433,565,440
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Chilanga,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,727,3718,hombres,INDIGENAS,2916,797,5
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Meanguera,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,181,1044,hombres,INDIGENAS,103,834,107
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Torola,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1320,2879,hombres,INDIGENAS,851,601,1427
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,San Simón,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1431,6081,hombres,INDIGENAS,2351,2030,1700
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Delicias de Concepción,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,185,5146,hombres,INDIGENAS,1785,830,2531
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Joateca,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,1871,7101,hombres,INDIGENAS,2413,2735,1953
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Arambala,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,2930,3870,hombres,INDIGENAS,506,1572,1792
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Lolotiquillo,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,976,5001,hombres,INDIGENAS,2952,904,1145
Elecciones Municipales,2005,EL SALVADOR,REGION 4,Morazán  ,Yamabal,ARENA,Alianza Nac. Rep.,hombres,INDIGENAS,416,4826,hombres,INDIGENAS,62,2972,1792
